Lat,Lon,inches
27.282,-81.6283,0.03
27.2687,-81.5938,0.05
27.2554,-81.5592,0.06
27.242,-81.5247,0.1
27.2287,-81.4902,0.12
27.2154,-81.4557,0.15
27.202,-81.4212,0.15
27.1886,-81.3868,0.12
27.1752,-81.3523,0.07
27.1618,-81.3179,0.06
27.1483,-81.2835,0.03
27.1349,-81.2491,0.03
27.1214,-81.2148,0
27.1079,-81.1804,0.02
27.0944,-81.1461,0.01
27.0538,-81.0432,0.01
27.0403,-81.009,0.01
27.0267,-80.9747,0.01
27.0131,-80.9405,0
27.4053,-81.8559,0.01
27.3921,-81.8212,0.01
27.3789,-81.7865,0.03
27.3657,-81.7519,0.02
27.3525,-81.7172,0.03
27.3392,-81.6826,0.03
27.326,-81.648,0.03
27.3127,-81.6134,0.02
27.2994,-81.5788,0.02
27.2861,-81.5442,0.03
27.2727,-81.5097,0.03
27.2594,-81.4752,0.03
27.246,-81.4407,0.04
27.2326,-81.4062,0.06
27.2192,-81.3717,0.08
27.2058,-81.3372,0.09
27.1924,-81.3028,0.12
27.1789,-81.2684,0.14
27.1655,-81.234,0.1
27.152,-81.1996,0.06
27.1385,-81.1653,0.02
27.125,-81.1309,0.01
27.0979,-81.0623,0
27.0436,-80.9252,0
27.0299,-80.891,0.01
27.0163,-80.8568,0.01
27.0026,-80.8226,0
26.989,-80.7885,0
27.4361,-81.8411,0.01
27.4229,-81.8064,0.02
27.4097,-81.7717,0.03
27.3965,-81.737,0.01
27.3833,-81.7023,0.01
27.37,-81.6677,0.02
27.3567,-81.633,0.03
27.3434,-81.5984,0.03
27.3301,-81.5638,0.04
27.3168,-81.5292,0.04
27.3034,-81.4947,0.04
27.2901,-81.4601,0.02
27.2767,-81.4256,0.02
27.2633,-81.3911,0.02
27.2499,-81.3566,0.02
27.2365,-81.3221,0.03
27.223,-81.2877,0.02
27.2096,-81.2533,0.03
27.1961,-81.2188,0.05
27.1826,-81.1844,0.09
27.1691,-81.1501,0.11
27.1555,-81.1157,0.06
27.142,-81.0814,0.03
27.1284,-81.047,0.02
27.1149,-81.0127,0.01
27.0331,-80.8073,0
27.4538,-81.7915,0
27.4405,-81.7568,0.01
27.4273,-81.7221,0.03
27.414,-81.6874,0.04
27.4008,-81.6527,0.02
27.3875,-81.6181,0.03
27.3742,-81.5834,0.02
27.3608,-81.5488,0.05
27.3475,-81.5142,0.06
27.3341,-81.4796,0.07
27.3208,-81.4451,0.06
27.3074,-81.4105,0.05
27.294,-81.376,0.03
27.2805,-81.3415,0.02
27.2671,-81.307,0.1
27.2536,-81.2726,0.05
27.2402,-81.2381,0.04
27.2267,-81.2037,0.03
27.2132,-81.1693,0.01
27.1997,-81.1349,0.02
27.1861,-81.1005,0.04
27.1726,-81.0661,0.02
27.159,-81.0318,0.05
27.1454,-80.9975,0.04
27.1318,-80.9632,0.02
27.1182,-80.9289,0.01
27.1045,-80.8946,0.01
27.0909,-80.8604,0
27.0635,-80.7919,0
26.9949,-80.6211,0
27.4713,-81.7418,0.01
27.4581,-81.7071,0.01
27.4448,-81.6724,0.01
27.4315,-81.6377,0.01
27.4182,-81.6031,0.01
27.4049,-81.5684,0.02
27.3916,-81.5338,0.03
27.3782,-81.4992,0.01
27.3648,-81.4646,0.02
